location,date,mintemp,maxtemp,avgtemp,totalsnow,sunhour
"Llanberis, Wales, United Kingdom",2018-05-13,3,9,6,0,16
"Ashford, England, United Kingdom",2018-08-05,16,22,19,0,15
"Cuyahoga Falls, Ohio, USA",2018-07-29,17,25,21,0,14
"Essex, England, United Kingdom",2018-07-15,15,28,22,0,17
"Fairplay, Colorado, USA",2018-07-08,8,23,16,0,12
"Stearns, Kentucky, USA",2018-10-14,8,16,12,0,7
"Cincinnati, Ohio, USA",2018-10-07,20,29,25,0,12
"Chipping Campden, England, United Kingdom",2018-09-23,7,13,10,0,10
"Huddersfield, England, United Kingdom",2018-11-04,8,12,10,0,1
"La Grange, Wisconsin, USA",2018-11-04,4,10,7,0,1
"Ashford, England, United Kingdom",2016-08-07,16,19,18,0,11
"Fairplay, Colorado, USA",2016-08-07,4,20,12,0,13
"Chipping Campden, England, United Kingdom",2016-09-25,10,17,14,0,11
"Tengchong, Yunnan, China",2016-11-19,2,19,11,0,11
"La Grange, Wisconsin, USA",2016-11-06,9,18,14,0,10
"São João da Boa Vista, Brazil",2017-01-13,24,34,29,0,12
"Folsom, California, USA",2017-05-28,13,28,21,0,15
"Essex, England, United Kingdom",2017-07-16,16,23,20,0,10
"Ashford, England, United Kingdom",2017-08-06,11,17,14,0,14
"Fairplay, Colorado, USA",2017-08-06,4,19,12,0,10
"Cuyahoga Falls, Ohio, USA",2017-07-30,18,27,23,0,14
"Stearns, Kentucky, USA",2017-10-15,12,25,19,0,6
"Chipping Campden, England, United Kingdom",2017-09-24,11,20,16,0,12
"Taitung County, Taiwan",2017-12-24,21,26,24,0,11
"Huddersfield, England, United Kingdom",2017-11-05,3,8,6,0,9
"La Grange, Wisconsin, USA",2017-11-05,1,10,6,0,2
"Battle, England, United Kingdom",2019-07-07,11,18,15,0,16
"Fairplay, Colorado, USA",2019-07-07,4,19,12,0,15
"Ashford, England, United Kingdom",2019-08-04,15,19,17,0,10
"Cuyahoga Falls, Ohio, USA",2019-07-28,20,28,24,0,14
"Ouray, Colorado, USA",2019-07-28,10,25,18,0,14
"Essex, England, United Kingdom",2019-07-14,11,19,15,0,12
"Chipping Campden, England, United Kingdom",2019-09-22,12,19,16,0,13
"Cincinnati, Ohio, USA",2019-09-22,19,30,25,0,12
"Whistler, British Columbia, Canada",2019-09-22,6,12,9,0,2
"Stearns, Kentucky, USA",2019-10-13,4,19,12,0,12
"La Grange, Wisconsin, USA",2019-11-10,-2,2,0,0,1
"Huddersfield, England, United Kingdom",2019-11-03,5,10,8,0,8
"Porthtowan, England, United Kingdom",2020-02-01,6,11,9,0,5
"Fairplay, Colorado, USA",2020-07-12,9,23,16,0,11
"Mesquite, Nevada, USA",2020-03-22,6,19,13,0,12
"Manila, Philippines",2020-03-08,27,34,31,0,11
"Cuyahoga Falls, Ohio, USA",2020-08-23,19,29,24,0,9
"Ashford, England, United Kingdom",2020-08-09,16,24,20,0,15
"La Grange, Wisconsin, USA",2020-11-08,12,20,16,0,6
"Ojai, California, USA",2020-11-01,18,24,21,0,11
"Stearns, Kentucky, USA",2020-10-17,3,15,9,0,11
"El Paso, Texas, USA",2021-03-28,8,21,15,0,13
"Rocksprings, Texas, USA",2021-03-14,11,19,15,0,12
"Mesquite, Nevada, USA",2021-02-21,5,14,10,0,11
"Macedonia, Ohio, USA",2021-06-06,19,27,23,0,14
"Ouray, Colorado, USA",2021-08-01,8,17,13,0,8
"Essex, England, United Kingdom",2021-07-11,12,19,16,0,6
"Fairplay, Colorado, USA",2021-07-11,7,21,14,0,15
"Cincinnati, Ohio, USA",2021-09-12,19,32,26,0,12
"Ashford, England, United Kingdom",2021-08-08,10,17,14,0,5
"Tübingen, Germany",2021-10-23,1,10,6,0,9
"Stearns, Kentucky, USA",2021-10-02,16,28,22,0,12
"La Grange, Wisconsin, USA",2021-11-14,-2,1,-1,1,1
"Rocksprings, Texas, USA",2022-03-13,2,17,10,0,12
"Mesquite, Nevada, USA",2022-02-27,-2,16,7,0,8
"El Paso, Texas, USA",2022-03-27,14,28,21,0,9
"Macedonia, Ohio, USA",2022-06-05,12,23,18,0,15
"Shrewsbury, England, United Kingdom",2022-05-15,11,15,13,0,1
"Saltaire, England, UK",2022-05-08,7,16,12,0,11
"Essex, England, United Kingdom",2022-07-10,12,28,20,0,17
"Fairplay, Colorado, USA",2022-07-10,9,23,16,0,9
"Manila, Philippines",2022-06-12,27,32,30,0,8
"Whistler, British Columbia, Canada",2022-09-10,9,29,19,0,13
"Ashford, England, United Kingdom",2022-08-07,14,23,19,0,15
"Ouray, Colorado, USA",2022-07-24,10,20,15,0,6
"Mesquite, Nevada, USA",2022-10-16,16,27,22,0,11
"Stearns, Kentucky, USA",2022-10-15,14,22,18,0,11
"Independence, Kansas, USA",2022-09-25,18,30,24,0,12
"Chipping Campden, England, United Kingdom",2022-09-18,8,17,13,0,7
"La Grange, Wisconsin, USA",2022-11-13,-4,2,-1,0,10
"Huddersfield, England, United Kingdom",2022-11-05,5,11,8,0,1
"La Grange, Wisconsin, USA",2013-11-03,0,9,5,0,10
"Chipping Campden, England, United Kingdom",2013-09-22,14,21,18,0,13
"La Grange, Wisconsin, USA",2014-11-09,1,8,5,0,10
"Chicago, Illinois, USA",2014-10-19,5,12,9,0,11
"Chipping Campden, England, United Kingdom",2014-09-28,12,21,17,0,10
"Worcestershire, England, United Kingdom",2015-05-03,9,18,14,0,4
"Fairplay, Colorado, USA",2015-08-09,4,18,11,0,12
"Chipping Campden, England, United Kingdom",2015-09-27,7,17,12,0,11
"La Grange, Wisconsin, USA",2015-11-08,1,10,6,0,10
"Chicago, Illinois, USA",2015-10-18,6,15,11,0,11
"Trieste, Italy",2018-01-06,7,10,9,0,2
"Drakensberg Mountains, South Africa",2018-04-29,7,20,14,0,9
"San Martín de los Andes, Argentina",2018-04-07,1,13,7,0,8
"Lake Elton, Russia",2018-05-27,8,19,14,0,16
"Pembrokeshire Coast, Wales, United Kingdom",2018-05-13,8,12,10,0,16
"Montreux, Switzerland",2018-07-29,11,26,19,0,15
"Pwllheli, Wales, United Kingdom",2018-06-24,12,17,15,0,17
"Galilee, Israel",2018-10-26,21,26,24,0,10
"Réunion Island, France",2018-10-21,7,19,13,0,10
"Vienna Woods, Austria",2018-09-30,5,15,10,0,12
"Pong Yaeng, Thailand",2018-11-11,21,29,25,0,11
"Fuguei Cape to Eluanbi Lighthouse, Taiwan",2016-04-04,26,26,26,0,1
"Chicamocha Canyon, Colombia",2016-06-06,4,13,9,0,19
"Vielle-Aure, France",2016-08-28,15,22,19,0,12
