Event number of finishers,age_at_race,hours,avgtemp,Elevation gain
170.0,61.0,21.191111111111113,26.0,10000.0
92.0,58.0,12.999166666666667,15.0,4000.0
57.0,28.0,16.9575,19.0,3200.0
55.0,56.0,24.040277777777774,21.0,11000.0
100.0,64.0,12.606388888888889,4.0,4000.0
221.0,39.0,17.227222222222224,22.0,3200.0
96.0,49.0,11.505555555555556,12.0,4000.0
126.0,62.0,17.137777777777778,15.0,3200.0
170.0,51.0,11.135,26.0,10000.0
100.0,72.0,10.739722222222222,15.0,4000.0
82.0,45.0,19.174444444444443,10.0,11000.0
78.0,65.0,12.911944444444444,19.0,4000.0
189.0,36.0,11.234444444444444,21.0,6000.0
78.0,53.0,9.814722222222224,19.0,4000.0
197.0,25.0,14.537222222222224,18.0,3200.0
166.0,28.0,12.5375,24.0,10000.0
80.0,46.0,18.093611111111112,28.0,5600.0
91.0,55.0,16.17527777777778,28.0,5600.0
100.0,38.0,10.675,4.0,4000.0
97.0,45.0,19.727777777777774,18.0,3200.0
87.0,43.0,9.433333333333334,11.0,4000.0
96.0,34.0,10.570555555555556,12.0,4000.0
221.0,39.0,12.869166666666668,22.0,3200.0
199.0,52.0,15.403611111111111,24.0,3200.0
57.0,34.0,11.968333333333334,24.0,9000.0
138.0,30.0,12.03138888888889,23.0,6000.0
130.0,54.0,13.490277777777775,25.0,10000.0
193.0,42.0,11.971388888888889,23.0,3200.0
108.0,51.0,11.704444444444444,22.0,6000.0
71.0,42.0,19.8275,12.0,11000.0
37.0,45.0,16.1425,22.0,6000.0
161.0,42.0,26.84638888888889,24.0,3200.0
151.0,28.0,16.985277777777778,23.0,6000.0
49.0,49.0,15.57638888888889,18.0,6000.0
160.0,29.0,10.965,21.0,6000.0
84.0,34.0,12.251111111111111,10.0,4000.0
97.0,20.0,16.29388888888889,18.0,3200.0
146.0,47.0,14.610833333333334,21.0,6000.0
160.0,56.0,12.992777777777778,21.0,6000.0
189.0,45.0,14.868055555555555,21.0,6000.0
21.0,55.0,17.7725,20.0,9000.0
55.0,49.0,15.7275,28.0,5600.0
143.0,36.0,11.524444444444445,27.0,10000.0
71.0,38.0,17.710555555555555,12.0,11000.0
109.0,42.0,18.819166666666668,19.0,3200.0
97.0,49.0,16.29,28.0,5600.0
100.0,37.0,9.963333333333331,4.0,4000.0
63.0,61.0,15.938333333333333,21.0,9000.0
66.0,36.0,12.610277777777778,6.0,11000.0
34.0,50.0,15.463333333333331,22.0,6000.0
79.0,49.0,25.860555555555557,9.0,11000.0
109.0,58.0,12.589166666666667,17.0,4000.0
78.0,41.0,14.702222222222222,19.0,4000.0
102.0,40.0,18.90277777777778,20.0,3200.0
151.0,43.0,11.908055555555556,23.0,6000.0
151.0,30.0,10.924722222222222,23.0,6000.0
189.0,35.0,12.616666666666667,21.0,6000.0
49.0,45.0,19.4425,18.0,6000.0
87.0,49.0,10.721111111111112,11.0,4000.0
197.0,50.0,22.156388888888888,18.0,3200.0
82.0,37.0,15.424722222222222,10.0,11000.0
166.0,45.0,10.955833333333333,24.0,10000.0
17.0,39.0,12.02361111111111,18.0,9000.0
197.0,52.0,16.36,18.0,3200.0
26.0,36.0,15.22222222222222,23.0,6000.0
99.0,33.0,13.668611111111112,18.0,4000.0
57.0,47.0,11.848055555555556,19.0,3200.0
83.0,45.0,16.891944444444444,28.0,5600.0
77.0,35.0,15.611666666666666,29.0,5600.0
141.0,54.0,15.080833333333333,19.0,10000.0
68.0,28.0,10.898888888888887,22.0,9000.0
68.0,48.0,16.99888888888889,22.0,9000.0
100.0,51.0,13.268055555555556,4.0,4000.0
170.0,53.0,14.286944444444444,26.0,10000.0
189.0,47.0,11.766666666666667,21.0,6000.0
172.0,42.0,11.996944444444445,22.0,10000.0
170.0,36.0,14.625277777777775,26.0,10000.0
123.0,46.0,23.87388888888889,26.0,3200.0
38.0,32.0,15.442777777777778,18.0,6000.0
172.0,49.0,12.654444444444444,22.0,10000.0
91.0,42.0,12.556944444444444,28.0,5600.0
57.0,61.0,19.502777777777776,19.0,3200.0
99.0,48.0,12.11111111111111,18.0,4000.0
77.0,43.0,15.249722222222225,29.0,5600.0
154.0,50.0,13.33361111111111,24.0,10000.0
100.0,30.0,10.126388888888888,15.0,4000.0
54.0,42.0,17.738055555555555,21.0,11000.0
140.0,42.0,18.586111111111112,22.0,6000.0
109.0,31.0,13.9125,17.0,4000.0
199.0,37.0,14.831944444444444,24.0,3200.0
121.0,29.0,11.927222222222222,18.0,10000.0
143.0,33.0,13.411944444444444,27.0,10000.0
99.0,56.0,9.345833333333331,18.0,4000.0
138.0,51.0,11.957222222222224,23.0,6000.0
65.0,52.0,18.766111111111112,9.0,11000.0
172.0,61.0,14.978333333333332,22.0,10000.0
50.0,33.0,12.610555555555557,18.0,11000.0
164.0,23.0,15.089444444444444,26.0,6000.0
109.0,60.0,13.126666666666669,11.0,4000.0
121.0,23.0,10.820277777777775,18.0,10000.0
65.0,39.0,21.68722222222222,9.0,11000.0
38.0,44.0,16.353055555555557,18.0,6000.0
123.0,27.0,18.545,26.0,3200.0
