Event number of finishers,age_at_race,hours,avgtemp,Elevation gain
72,53.0,14.658611111111112,16,11000
130,46.0,15.604166666666666,25,10000
124,53.0,10.43388888888889,9,4000
92,61.0,12.780555555555557,15,4000
87,56.0,10.463888888888889,11,4000
146,48.0,13.74638888888889,21,6000
84,50.0,17.186944444444446,10,4000
197,37.0,13.363055555555556,18,3200
201,50.0,14.985277777777778,23,10000
193,54.0,13.83388888888889,23,3200
49,55.0,17.41888888888889,18,6000
78,51.0,14.507222222222222,19,4000
123,35.0,15.685555555555556,26,3200
164,39.0,11.90972222222222,26,6000
221,28.0,7.978611111111111,22,3200
75,39.0,23.888055555555557,17,6000
96,18.0,9.70138888888889,12,4000
166,38.0,13.2725,24,10000
138,31.0,9.196944444444444,23,6000
193,49.0,17.282222222222224,23,3200
151,37.0,17.211944444444445,23,6000
221,55.0,16.475,22,3200
36,41.0,15.8275,27,5600
109,47.0,10.89611111111111,11,4000
84,35.0,10.368333333333334,10,4000
83,47.0,13.749444444444444,25,3200
146,34.0,9.411944444444444,21,6000
92,40.0,9.97888888888889,15,4000
151,37.0,14.287222222222224,23,6000
193,55.0,21.07611111111111,23,3200
84,33.0,8.539166666666667,10,4000
156,46.0,12.437777777777775,23,6000
20,49.0,16.639444444444443,22,9000
50,35.0,20.51,18,11000
221,32.0,15.235555555555557,22,3200
140,37.0,10.428333333333333,22,6000
35,63.0,17.005,13,6000
121,47.0,13.4075,18,10000
55,41.0,12.964722222222225,28,5600
151,46.0,15.19111111111111,23,6000
75,29.0,22.967222222222222,17,6000
154,50.0,11.716388888888888,24,10000
189,49.0,9.764444444444443,21,6000
151,33.0,13.408333333333331,23,6000
170,30.0,15.279722222222222,26,10000
92,65.0,15.581944444444444,15,4000
141,41.0,11.839166666666667,19,10000
130,54.0,19.193055555555556,25,10000
201,51.0,14.87888888888889,23,10000
130,42.0,15.261666666666668,25,10000
123,41.0,18.0675,26,3200
40,42.0,16.929166666666667,28,5600
50,61.0,13.964166666666667,18,11000
156,42.0,10.171388888888888,23,6000
103,50.0,9.076944444444443,13,4000
159,50.0,17.965833333333332,22,3200
109,47.0,20.962222222222223,17,4000
78,30.0,8.830277777777777,19,4000
193,38.0,21.9925,23,3200
201,40.0,12.42027777777778,23,10000
221,38.0,10.96,22,3200
160,29.0,10.953888888888889,21,6000
57,40.0,11.450555555555557,24,9000
92,39.0,9.900555555555556,15,4000
221,53.0,15.865,22,3200
97,33.0,12.926388888888887,18,3200
160,54.0,16.39,21,6000
28,38.0,15.290555555555557,22,9000
99,52.0,14.73638888888889,18,4000
100,49.0,15.946666666666667,4,4000
91,57.0,15.212222222222222,28,5600
103,43.0,11.201944444444443,13,4000
103,51.0,14.588888888888889,17,3200
197,42.0,21.76972222222222,18,3200
221,51.0,17.82611111111111,22,3200
99,55.0,12.972777777777775,18,4000
126,28.0,16.490833333333335,15,3200
